RegNo,CALCULUS AND SOLID GEOMETRY,PROGRAM DESIGN AND DEVELOPMENT,COMPUTER HARDWARE AND TROUBLESHOOTING LABORATORY,MATERIALS SCIENCE,BASIC MECHANICAL ENGINEERING,PRINCIPLES OF ENVIRONMENTAL SCIENCE,BASIC CIVIL ENGINEERING,PHYSICS,ADVANCED CALCULUS AND COMPLEX ANALYSIS,CHEMISTRY,BASIC ELECTRICAL ENGINEERING,PROGRAMMING LABORATORY,TRANSFORMS AND BOUNDARY VALUE PROBLEMS,ELECTRON DEVICES AND CIRCUITS,DIGITAL SYSTEM DESIGN,OBJECT ORIENTED ANALYSIS AND DESIGN,DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING USING C++,PROBABILITY AND QUEUING THEORY,ELECTRICAL ENGINEERING AND CONTROL SYSTEMS,COMPUTER SYSTEM ARCHITECTURE,MICROPROCESSORS AND MICROCONTROLLERS,ALGORITHM DESIGN AND ANALYSIS,PROGRAMMING IN JAVA,Software Reliability,Software Quality Assurance,Parallel Programming Using Opencl,Agile Software Process,Programming In Php,Software Configuration Management,Analysis Of Software Artifacts,Software Maintenance And Administration,Game Programming,Neuro Fuzzy And Genetic Programming,Pervasive Computing,Computational Logic,Database Security And Privacy,Principles Of Programming Languages,Principles Of Compiler Design,E-Commerce,Xml And Webservices,Software Measurements And Metrics,Data Mining And Analytics,System Software
RA1611003010001,98,95,99,88,85,90,87,84,97,88,82,99,95,88,91,82,93,99,98,83,90,95,96,99,A,A,A,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
RA1611003010002,90,86,96,98,95,97,96,85,90,93,89,95,87,92,90,91,87,83,82,90,94,92,89,91,B,C,C,C,A,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C
RA1611003010003,88,89,90,87,91,89,84,85,88,83,87,93,86,84,82,85,87,90,88,91,90,83,87,86,C,C,C,C,C,C,C,C,B,B,C,A,C,C,C,C,C,C,C,C
RA1611003010004,99,92,100,90,93,96,92,98,97,96,91,96,98,90,91,93,96,99,98,92,97,90,93,95,C,C,C,C,A,C,C,C,A,C,C,C,C,C,C,C,C,C,B,C
RA1611003010005,90,92,98,92,84,88,86,89,90,86,85,90,85,85,94,81,90,95,88,84,87,88,89,92,C,A,C,B,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C
RA1611003010006,82,87,91,81,86,87,85,82,80,81,85,92,83,78,88,86,82,88,81,86,83,80,82,85,C,C,C,C,B,A,C,B,C,C,C,C,C,C,C,C,C,C,C,C
RA1611003010007,99,96,100,96,93,91,93,95,100,97,87,97,99,91,90,92,93,97,98,89,99,92,95,100,C,C,A,C,A,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C
RA1611003010008,88,99,100,92,93,89,87,92,90,88,91,100,90,88,95,91,98,99,92,85,94,92,96,95,C,C,B,C,C,C,C,C,B,C,C,C,C,C,A,C,C,C,C,C
RA1611003010009,85,89,95,85,86,82,83,89,90,88,84,90,86,73,83,81,79,83,75,73,88,81,77,87,B,B,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C
RA1611003010010,87,87,93,89,85,90,88,85,85,90,88,90,89,88,90,89,91,93,91,88,87,91,98,97,A,C,C,B,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C
RA1611003010011,88,98,95,78,85,88,81,85,90,82,87,92,91,81,92,93,95,92,91,83,86,89,91,96,C,C,C,A,C,B,C,B,C,C,C,C,C,C,C,C,C,C,C,C
RA1611003010012,93,90,91,82,89,86,86,81,93,85,89,98,93,89,87,88,93,96,90,89,88,98,98,99,C,C,C,C,B,C,C,C,B,C,C,A,C,C,C,C,C,C,C,C
RA1611003010013,85,83,92,97,92,94,90,90,83,88,92,82,89,92,91,88,83,87,88,93,96,95,88,91,C,A,C,B,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C
RA1611003010014,92,92,93,87,85,83,88,90,90,80,91,93,91,89,90,88,92,93,90,87,86,90,91,99,B,C,C,C,A,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C
RA1611003010015,95,97,96,93,94,92,93,94,97,92,95,96,94,95,98,98,97,99,97,96,95,93,96,94,C,C,A,C,A,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C
RA1611003010016,88,84,93,89,86,85,90,89,84,83,90,99,85,89,95,92,97,95,90,86,85,97,97,99,C,B,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,B,C
RA1611003010017,87,92,91,87,89,87,85,88,89,88,87,91,91,89,87,88,92,98,96,96,97,88,91,95,C,C,C,C,C,C,A,C,C,C,B,C,C,C,A,C,C,C,C,C
RA1611003010018,91,87,97,96,94,98,93,86,84,85,89,94,87,78,83,86,88,91,89,92,91,91,88,85,C,B,C,C,C,B,C,C,C,C,C,C,B,C,C,C,C,C,C,C
RA1611003010019,95,93,92,91,89,90,89,89,98,91,93,99,95,93,91,96,100,98,95,90,91,92,97,98,C,C,A,C,B,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C
